,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
B03,y,DE344,NC,EZRDM,0,2,EZRDM|0ug,just_cells|EZRDM|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|EZRDM|0ug
C03,y,DE344,NC,EZRDM,0,3,EZRDM|0ug,just_cells|EZRDM|0ug|3,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|EZRDM|0ug
D03,y,DE344,NC,EZRDM,0,4,EZRDM|0ug,just_cells|EZRDM|0ug|4,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|EZRDM|0ug
E03,y,DE344,NC,LB,0,0,LB|0ug,just_cells|LB|0ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|LB|0ug
F03,y,DE344,NC,LB,0,1,LB|0ug,just_cells|LB|0ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|LB|0ug
G03,y,DE344,NC,LB,0,2,LB|0ug,just_cells|LB|0ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|LB|0ug
H03,y,DE344,NC,LB,0,3,LB|0ug,just_cells|LB|0ug|3,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H3 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|LB|0ug
A04,y,DE344,NC,LB,0,4,LB|0ug,just_cells|LB|0ug|4,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|LB|0ug
B04,y,DE344,NC,TB,0,0,TB|0ug,just_cells|TB|0ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|TB|0ug
C04,y,DE344,NC,TB,0,1,TB|0ug,just_cells|TB|0ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C4 of 3 on Temperature Module GEN2 on 3,2022-10-17,just_cells|TB|0ug
