,cells,host,samples,media,abx_c,replicate,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
D10,y,DE344,pJUMP48-2A(pUC),EZRDM,40,0,EZRDM|40ug,pJUMP48-2A(pUC)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|EZRDM|40ug
E10,y,DE344,pJUMP48-2A(pUC),EZRDM,40,1,EZRDM|40ug,pJUMP48-2A(pUC)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|EZRDM|40ug
F10,y,DE344,pJUMP48-2A(pUC),EZRDM,40,2,EZRDM|40ug,pJUMP48-2A(pUC)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|EZRDM|40ug
G10,y,DE344,pJUMP48-2A(pUC),EZRDM,40,3,EZRDM|40ug,pJUMP48-2A(pUC)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|EZRDM|40ug
H10,y,DE344,pJUMP48-2A(pUC),EZRDM,40,4,EZRDM|40ug,pJUMP48-2A(pUC)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H10 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|EZRDM|40ug
A11,y,DE344,pJUMP48-2A(pUC),LB,40,0,LB|40ug,pJUMP48-2A(pUC)|LB|40ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|LB|40ug
B11,y,DE344,pJUMP48-2A(pUC),LB,40,1,LB|40ug,pJUMP48-2A(pUC)|LB|40ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|LB|40ug
C11,y,DE344,pJUMP48-2A(pUC),LB,40,2,LB|40ug,pJUMP48-2A(pUC)|LB|40ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|LB|40ug
D11,y,DE344,pJUMP48-2A(pUC),LB,40,3,LB|40ug,pJUMP48-2A(pUC)|LB|40ug|3,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|LB|40ug
E11,y,DE344,pJUMP48-2A(pUC),LB,40,4,LB|40ug,pJUMP48-2A(pUC)|LB|40ug|4,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|LB|40ug
F11,y,DE344,pJUMP48-2A(pUC),TB,40,0,TB|40ug,pJUMP48-2A(pUC)|TB|40ug|0,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|TB|40ug
G11,y,DE344,pJUMP48-2A(pUC),TB,40,1,TB|40ug,pJUMP48-2A(pUC)|TB|40ug|1,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|TB|40ug
H11,y,DE344,pJUMP48-2A(pUC),TB,40,2,TB|40ug,pJUMP48-2A(pUC)|TB|40ug|2,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H11 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|TB|40ug
A12,y,DE344,pJUMP48-2A(pUC),TB,40,3,TB|40ug,pJUMP48-2A(pUC)|TB|40ug|3,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A12 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|TB|40ug
B12,y,DE344,pJUMP48-2A(pUC),TB,40,4,TB|40ug,pJUMP48-2A(pUC)|TB|40ug|4,B3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B12 of 3 on Temperature Module GEN2 on 3,2022-10-17,pJUMP48-2A(pUC)|TB|40ug
