well,cells,host,samples,media,ind_c,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
C2,y,Marionette,PB1,EZRDM,0uM,40ug,0,MarionettePB1|0uM|0,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C2 of 3 on Temperature Module GEN2 on 3,2023-06-04
D2,y,Marionette,PB1,EZRDM,0uM,40ug,1,MarionettePB1|0uM|1,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D2 of 3 on Temperature Module GEN2 on 3,2023-06-04
E2,y,Marionette,PB1,EZRDM,0uM,40ug,2,MarionettePB1|0uM|2,A1 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E2 of 3 on Temperature Module GEN2 on 3,2023-06-04
F2,y,Marionette,PB1,EZRDM,10uM,40ug,0,MarionettePB1|10uM|0,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F2 of 3 on Temperature Module GEN2 on 3,2023-06-04
G2,y,Marionette,PB1,EZRDM,10uM,40ug,1,MarionettePB1|10uM|1,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G2 of 3 on Temperature Module GEN2 on 3,2023-06-04
H2,y,Marionette,PB1,EZRDM,10uM,40ug,2,MarionettePB1|10uM|2,A3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H2 of 3 on Temperature Module GEN2 on 3,2023-06-04
I2,y,Marionette,PB1,EZRDM,25uM,40ug,0,MarionettePB1|25uM|0,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,I2 of 3 on Temperature Module GEN2 on 3,2023-06-04
J2,y,Marionette,PB1,EZRDM,25uM,40ug,1,MarionettePB1|25uM|1,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,J2 of 3 on Temperature Module GEN2 on 3,2023-06-04
K2,y,Marionette,PB1,EZRDM,25uM,40ug,2,MarionettePB1|25uM|2,B3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,K2 of 3 on Temperature Module GEN2 on 3,2023-06-04
L2,y,Marionette,PB1,EZRDM,50uM,40ug,0,MarionettePB1|50uM|0,C3 of Opentrons 15 Tube Rack with Falcon 15 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,L2 of 3 on Temperature Module GEN2 on 3,2023-06-04
