,cells,host,samples,media,abx_c,replicate,sample_ID,media_ID,ID,media_source,sample_source,destination,prep_date,samples_id
A03,y,DH5a,NC,EZRDM,0,4,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|4,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
B03,y,DH5a,NC,EZRDM,0,5,DH5a|just_cells,EZRDM|0ug,DH5a|just_cells|EZRDM|0ug|5,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DH5a|just_cells
C03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,0,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
D03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,1,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
E03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,2,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
F03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,3,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
G03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,4,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
H03,y,DE344,pJUMP47-2A(pSC101),EZRDM,40,5,DE344|pJUMP47-2A(pSC101),EZRDM|40ug,DE344|pJUMP47-2A(pSC101)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,D1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H3 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP47-2A(pSC101)
A04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,0,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
B04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,1,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
C04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,2,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
D04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,3,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|3,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
E04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,4,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|4,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
F04,y,DE344,pJUMP43-2A(pBBR1),EZRDM,40,5,DE344|pJUMP43-2A(pBBR1),EZRDM|40ug,DE344|pJUMP43-2A(pBBR1)|EZRDM|40ug|5,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,E1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP43-2A(pBBR1)
G04,y,DE344,pJUMP46-2A(p15A),EZRDM,40,0,DE344|pJUMP46-2A(p15A),EZRDM|40ug,DE344|pJUMP46-2A(p15A)|EZRDM|40ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,F1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G4 of 3 on Temperature Module GEN2 on 3,2022-10-20,DE344|pJUMP46-2A(p15A)
