assembly_ID,assembly_description,Module A | Part 1: Promoter,Module A | Part 2: RBS,Module A | Part 3 & 4: Tag1and2,Module A | Part 5: CDS,Module A | Part 6: Terminator,Module A | Part 7: LVL1 Destination Vector,assembly_tube,assembly_date
pCM311,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2(BBF10K_003384)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2(BBF10K_003384)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,L2,2023-06-04
pCM312,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2(BBF10K_003384)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2(BBF10K_003384)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,M2,2023-06-04
pCM313,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,N2,2023-06-04
pCM314,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,O2,2023-06-04
pCM315,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,B3,2023-06-04
pCM316,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,C3,2023-06-04
pCM317,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,D3,2023-06-04
pCM318,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,E3,2023-06-04
pCM319,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,F3,2023-06-04
pCM320,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,G3,2023-06-04
pCM321,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,H3,2023-06-04
pCM322,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,I3,2023-06-04
pCM323,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,J3,2023-06-04
pCM324,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_DsbA(BBF10K_003391)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,K3,2023-06-04
pCM325,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,L3,2023-06-04
pCM326,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,M3,2023-06-04
pCM327,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,N3,2023-06-04
pCM328,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,O3,2023-06-04
pCM329,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,B4,2023-06-04
pCM330,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,C4,2023-06-04
pCM331,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,D4,2023-06-04
pCM332,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,E4,2023-06-04
pCM333,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,F4,2023-06-04
pCM334,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,G4,2023-06-04
pCM335,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,H4,2023-06-04
pCM336,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_OmpT(BBF10K_003392)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,I4,2023-06-04
pCM337,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,J4,2023-06-04
pCM338,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,K4,2023-06-04
pCM339,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,L4,2023-06-04
pCM340,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,M4,2023-06-04
pCM341,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_SapI(BBF10K_003295)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_SapI(BBF10K_003295)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,N4,2023-06-04
pCM342,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM|CDS_XbaI(BBF10K_003298)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag1_R5(BBF10K_003399)_15nM-Ntag2_TEVcut(BBF10K_003418)_15nM,CDS_XbaI(BBF10K_003298)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,O4,2023-06-04
pCM343,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_Eco31I(BBF10K_003292)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_Eco31I(BBF10K_003292)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,B5,2023-06-04
pCM344,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_EcoRI(BBF10K_003281)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_EcoRI(BBF10K_003281)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,C5,2023-06-04
pCM345,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_NotI(BBF10K_003300)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_NotI(BBF10K_003300)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,D5,2023-06-04
pCM346,P_T7(BBF10K_003378)_15nM|RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM|Ntag_His_TEVcut(BBF10K_003407_15nM|CDS_PstI(BBF10K_003283)_15nM|T_TZ(BBF10K_003477)_15nM|DV_pTi_5nM,P_T7(BBF10K_003378)_15nM,RBS_BT1_BCD2_pelB(BBF10K_003393)_15nM,Ntag_His_TEVcut(BBF10K_003407_15nM,CDS_PstI(BBF10K_003283)_15nM,T_TZ(BBF10K_003477)_15nM,DV_pTi_5nM,E5,2023-06-04
