wavelength,excitation,dichroic,emission
296.4,3.28E-07,,7.16E-06
296.6,3.25E-07,,7.54E-06
296.8,3.21E-07,,7.94E-06
297,3.18E-07,,8.36E-06
297.2,3.15E-07,,8.80E-06
297.4,3.11E-07,,9.27E-06
297.6,3.08E-07,,9.76E-06
297.8,3.05E-07,,1.03E-05
298,3.01E-07,,1.08E-05
298.2,2.98E-07,,9.30E-06
298.4,2.95E-07,,7.89E-06
298.6,2.92E-07,,6.70E-06
298.8,2.89E-07,,5.69E-06
299,2.86E-07,,4.83E-06
299.2,2.83E-07,,4.10E-06
299.4,2.80E-07,,3.48E-06
299.6,2.77E-07,,2.96E-06
299.8,2.74E-07,,2.51E-06
300,2.71E-07,,2.13E-06
300.2,2.68E-07,,1.81E-06
300.4,2.79E-07,,1.54E-06
300.6,3.09E-07,,1.30E-06
300.8,3.43E-07,,1.11E-06
301,3.80E-07,,9.39E-07
301.2,4.21E-07,,7.97E-07
301.4,4.67E-07,,6.77E-07
301.6,5.18E-07,,5.75E-07
301.8,5.74E-07,,5.32E-07
302,6.36E-07,,6.20E-07
302.2,7.06E-07,,7.23E-07
302.4,7.82E-07,,8.44E-07
302.6,8.67E-07,,9.84E-07
302.8,9.61E-07,,1.15E-06
303,1.07E-06,,1.34E-06
303.2,1.18E-06,,1.56E-06
303.4,1.31E-06,,1.82E-06
303.6,1.45E-06,,2.13E-06
303.8,1.61E-06,,2.48E-06
304,1.79E-06,,2.89E-06
304.2,1.98E-06,,3.38E-06
304.4,2.19E-06,,3.94E-06
304.6,2.43E-06,,4.60E-06
304.8,2.70E-06,,5.36E-06
305,2.94E-06,,6.25E-06
305.2,2.69E-06,,5.78E-06
305.4,2.46E-06,,5.33E-06
305.6,2.25E-06,,4.92E-06
305.8,2.06E-06,,4.52E-06
306,1.89E-06,,4.15E-06
306.2,1.73E-06,,3.81E-06
306.4,1.58E-06,,3.50E-06
306.6,1.44E-06,,3.22E-06
306.8,1.32E-06,,2.96E-06
307,1.21E-06,,2.71E-06
307.2,1.11E-06,,2.49E-06
307.4,1.01E-06,,2.29E-06
307.6,9.28E-07,,2.10E-06
307.8,8.50E-07,,1.93E-06
308,7.78E-07,,1.78E-06
308.2,7.12E-07,,1.63E-06
308.4,6.51E-07,,1.50E-06
308.6,5.96E-07,,1.38E-06
308.8,5.46E-07,,1.26E-06
