,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
D03,y,DH5a,NC,EZRDM,100,1,LVL2_NTC|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D3 of 3 on Temperature Module GEN2 on 3,25/09/2022
E03,y,DH5a,NC,EZRDM,100,2,LVL2_NTC|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,B1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E3 of 3 on Temperature Module GEN2 on 3,25/09/2022
F03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,0,pJUMP47-2A(pSC101)|0ug|0,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F3 of 3 on Temperature Module GEN2 on 3,25/09/2022
G03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,1,pJUMP47-2A(pSC101)|0ug|1,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G3 of 3 on Temperature Module GEN2 on 3,25/09/2022
H03,y,DH5a,pJUMP47-2A(pSC101),EZRDM,0,2,pJUMP47-2A(pSC101)|0ug|2,A1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H3 of 3 on Temperature Module GEN2 on 3,25/09/2022
A04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,25,0,pJUMP47-2A(pSC101)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A4 of 3 on Temperature Module GEN2 on 3,25/09/2022
B04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,25,1,pJUMP47-2A(pSC101)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B4 of 3 on Temperature Module GEN2 on 3,25/09/2022
C04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,25,2,pJUMP47-2A(pSC101)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C4 of 3 on Temperature Module GEN2 on 3,25/09/2022
D04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,50,0,pJUMP47-2A(pSC101)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D4 of 3 on Temperature Module GEN2 on 3,25/09/2022
E04,y,DH5a,pJUMP47-2A(pSC101),EZRDM,50,1,pJUMP47-2A(pSC101)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,C1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E4 of 3 on Temperature Module GEN2 on 3,25/09/2022
