,cells,host,samples,media,abx_c,replicate,ID,media_source,sample_source,destination,prep_date
E11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,0,pJUMP48-2A(pUC)|25ug|0,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E11 of 3 on Temperature Module GEN2 on 3,25/09/2022
F11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,1,pJUMP48-2A(pUC)|25ug|1,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F11 of 3 on Temperature Module GEN2 on 3,25/09/2022
G11,y,DH5a,pJUMP48-2A(pUC),EZRDM,25,2,pJUMP48-2A(pUC)|25ug|2,B1 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G11 of 3 on Temperature Module GEN2 on 3,25/09/2022
H11,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,0,pJUMP48-2A(pUC)|50ug|0,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H11 of 3 on Temperature Module GEN2 on 3,25/09/2022
A12,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,1,pJUMP48-2A(pUC)|50ug|1,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,A12 of 3 on Temperature Module GEN2 on 3,25/09/2022
B12,y,DH5a,pJUMP48-2A(pUC),EZRDM,50,2,pJUMP48-2A(pUC)|50ug|2,A2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,B12 of 3 on Temperature Module GEN2 on 3,25/09/2022
C12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,0,pJUMP48-2A(pUC)|75ug|0,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,C12 of 3 on Temperature Module GEN2 on 3,25/09/2022
D12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,1,pJUMP48-2A(pUC)|75ug|1,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,D12 of 3 on Temperature Module GEN2 on 3,25/09/2022
E12,y,DH5a,pJUMP48-2A(pUC),EZRDM,75,2,pJUMP48-2A(pUC)|75ug|2,B2 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,E12 of 3 on Temperature Module GEN2 on 3,25/09/2022
F12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,0,pJUMP48-2A(pUC)|100ug|0,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,F12 of 3 on Temperature Module GEN2 on 3,25/09/2022
G12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,1,pJUMP48-2A(pUC)|100ug|1,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,G12 of 3 on Temperature Module GEN2 on 3,25/09/2022
H12,y,DH5a,pJUMP48-2A(pUC),EZRDM,100,2,pJUMP48-2A(pUC)|100ug|2,A3 of Opentrons 6 Tube Rack with Falcon 50 mL Conical on 4,G1 of Opentrons 96 Well Aluminum Block with Generic PCR Strip 200 µL on 2,H12 of 3 on Temperature Module GEN2 on 3,25/09/2022
