,Abberior STAR 470SXP em,Abberior STAR 470SXP ex,Abberior STAR 520SXP em,Abberior STAR 520SXP ex,abberior STAR 580 em,abberior STAR 580 ex,abberior STAR 635 em,abberior STAR 635 ex,Abberior STAR GREEN em,Abberior STAR GREEN ex,Abberior STAR ORANGE em,Abberior STAR ORANGE ex,Abberior STAR RED em,Abberior STAR RED ex,Alexa Fluor 350 em,Alexa Fluor 350 ex,Alexa Fluor 405 em,Alexa Fluor 405 ex,Alexa Fluor 430 em,Alexa Fluor 430 ex,Alexa Fluor 488 em,Alexa Fluor 488 ex,Alexa Fluor 514 em,Alexa Fluor 514 ex,Alexa Fluor 532 em,Alexa Fluor 532 ex,Alexa Fluor 546 em,Alexa Fluor 546 ex,Alexa Fluor 555 em,Alexa Fluor 555 ex,Alexa Fluor 568 em,Alexa Fluor 568 ex,Alexa Fluor 594 em,Alexa Fluor 594 ex,Alexa Fluor 610 em,Alexa Fluor 610 ex,Alexa Fluor 633 em,Alexa Fluor 633 ex,Alexa Fluor 635 em,Alexa Fluor 635 ex,Alexa Fluor 647 em,Alexa Fluor 647 ex,Alexa Fluor 660 em,Alexa Fluor 660 ex,Alexa Fluor 680 em,Alexa Fluor 680 ex,Alexa Fluor 700 em,Alexa Fluor 700 ex,Alexa Fluor 750 em,Alexa Fluor 750 ex,Alexa Fluor 790 em,Alexa Fluor 790 ex,Abberior LIVE 550 em,Abberior LIVE 550 ex,Abberior LIVE 610 em,Abberior LIVE 610 ex,DAPI em,DAPI ex,SYTOX Blue em,SYTOX Blue ex,abberior STAR440L ex,abberior STAR440L em,abberior STAR460L ex,abberior STAR460L em,abberior STAR520L ex,abberior STAR520L em,Cy3 em,Cy7 em,Cy7 ex,Cy3 ex,Cy5 ex,Cy5 em,ATTO 550 ex,ATTO 550 em,ATTO 390 em,ATTO 390 ex,ATTO 542 em,ATTO 542 ex,ATTO 550 ex.1,ATTO 565 em,ATTO 565 ex,ATTO 590 em,ATTO 590 ex,ATTO 594 em,ATTO 594 ex,ATTO 610 em,ATTO 610 ex,ATTO 620 em,ATTO 620 ex,ATTO 633 em,ATTO 633 ex,ATTO 643 em,ATTO 643 ex,ATTO 647 em,ATTO 647 ex,ATTO 647N em,ATTO 647N ex,ATTO 655 em,ATTO 655 ex,ATTO 665 em,ATTO 665 ex,ATTO 680 em,ATTO 680 ex,ATTO 700 em,ATTO 700 ex,ATTO 725 em,ATTO 725 ex,ATTO 740 em,ATTO 740 ex,6-FAM em,6-FAM ex
535.0700073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.169583034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535.9699707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178166554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,0.04242,0.27229843,0.22902,0.91747,,0.269879997,,0.0373,0.7131,0.0359,,0.3361,,0.05157,0.061,,0.0096,,0.9891,0.0086,0.6765,0.0288,0.9102,0.3589,0.4842,0.99,0.0116,0.3368,0.0208,0.542,,0.4624,,0.2993,,0.1039,,0.0748,,0.0604,,0.0303,,0.194,,0.0595,,0.0321,,0.0098,,0.0115,0.035531823,0.604520321,,0.09171012,0.3236,,0.142,0.0006,0.01913,0.73564,0.012438273,,0.91747,0.22902,0.0325,,0.0329,0.5687,0.0368,,0.482645022,0.007896104,0.28625108,0.001,0.085493507,0.885212117,0.482645022,0.001138528,0.387943727,,0.249766241,,0.134883122,,0.088160174,,0.053281386,,0.055627707,,0.023,,0.036281385,,0.033060606,,0.040341991,,0.021108225,,0.022939394,,0.012294372,,0.010705628,,0.009138528,0.800295711,0
537,0.04773,0.2592666,0.23285,0.90637,,0.279359996,,0.0389,0.6905,0.0335,,0.3482,,0.05291,0.0586,,0.0082,,0.9852,0.008,0.6506,0.0256,0.9426,0.3203,0.5299,0.976,0.0136,0.344,0.0232,0.5586,,0.4745,,0.312,,0.1033,,0.0767,,0.0622,,0.0322,,0.1981,,0.0606,,0.033,,0.0103,,0.0118,0.039432842,0.635741711,,0.096385539,0.3167,,0.1384,0.0006,0.01696,0.72052,0.011273915,,0.90637,0.23285,0.0385,,0.0329,0.5808,0.0368,,0.510251089,0.009805195,0.277645021,0.001,0.104168829,0.917463196,0.510251089,0.001281385,0.39705628,,0.261233772,,0.143134204,,0.091645021,,0.055047619,,0.057372295,,0.023909091,,0.03790909,,0.034450217,,0.042138528,,0.022108225,,0.024047619,,0.012705628,,0.011294372,,0.009372294,0.780755222,0
537.0100098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.182392082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,0.05261,0.24661686,0.23607,0.89077,,0.286370009,,0.0404,0.6696,0.0311,,0.3599,,0.05419,0.0571,,0.0065,,0.9921,0.0076,0.6291,0.0233,0.9609,0.2838,0.5772,0.957,0.0153,0.3548,0.0251,0.5794,,0.486,,0.3266,,0.1095,,0.0772,,0.064,,0.0332,,0.2027,,0.0627,,0.034,,0.0109,,0.0119,0.044200104,0.666630089,,0.099442549,0.3127,,0.1311,0.0006,0.01506,0.70526,0.010362805,,0.89077,0.23607,0.0447,,0.0329,0.6004,0.0438,,0.540229455,0.01208658,0.269160172,0.001,0.125883113,0.945766222,0.540229455,0.001506494,0.407640688,,0.27274892,,0.152056281,,0.095251082,,0.056848485,,0.059138529,,0.024969697,,0.039688311,,0.036060606,,0.04390909,,0.023281385,,0.025372295,,0.013203463,,0.011705628,,0.009627705,0.761203349,0
538.0499878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.190140493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538.9500122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194585366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,0.05759,0.23436244,0.23195,0.87855,,0.293960005,,0.0418,0.6483,0.0287,,0.3712,,0.05606,0.0543,,0.0071,,0.9907,0.0071,0.6053,0.0207,0.983,0.2503,0.6207,0.9315,0.0185,0.3664,0.0305,0.5995,,0.496,,0.3384,,0.1201,,0.0793,,0.0657,,0.0348,,0.2075,,0.0648,,0.0353,,0.0111,,0.012,0.048306689,0.699760735,,0.104117967,0.3024,,0.1239,0.0006,0.01439,0.68672,0.009499612,,0.87855,0.23195,0.0516,,0.0329,0.6184,0.0438,,0.572303049,0.014731601,0.261017316,0.001,0.151350645,0.969112534,0.572303049,0.001969697,0.420043285,,0.284073592,,0.161541128,,0.099047618,,0.058926408,,0.060969697,,0.026138528,,0.041311689,,0.037536796,,0.045740259,,0.024536797,,0.026627706,,0.013675325,,0.012294372,,0.009770563,0.74178797,0
